CatalogNumber,TL,BL,GS,LTRF,AnExt,AnCom,Pos,Asymmetry
ICN 53809,28.66,11.65,28,1/2(1),1,1,2,NA
ICN 53809,43.94,16.09,34, 1/2,1,1,2,NA
ICN 53809,50.01,18.19,35,2(2)/2,2,2,2,NA
ICN 53809,62.94,19.77,40,2(2)/2,2,2,2,NA
ICN 53809,66.37,21.54,40,1/2(1),1,1,2,NA
ICN 53810,39.34,14.04,31,NA,NA,NA,NA,NA
ICN 53810,54.45,18.11,34, 1/2,1,1,2,NA
ICN 53810,46.13,16.80,35,1/2(1),1,1,2,NA
ICN 53810,54.27,17.85,35,1/2(1),1,1,2,NA
ICN 53810,59.05,18.10,35, 1/2,1,1,2,NA
ICN 53810,47.80,16.15,36,1/2(1),1,1,2,NA
ICN 53810,56.55,16.95,36, 1/2,1,1,2,NA
ICN 53810,54.40,18.35,36,1/2(1),1,1,2,NA
ICN 53810,53.40,17.17,36,2(2)/2,2,2,2,N
ICN 53810,57.60,17.40,36,2(2)/2(1),2,2,2,Left
ICN 53810,52.15,17.79,36,2(2)/2,2,2,2,Right
ICN 53810,60.70,18.43,36,2(2)/2,2,2,2,N
ICN 53810,61.20,17.35,37, 1/2,1,1,2,NA
ICN 53810,56.80,17.54,37, 1/2,1,1,2,NA
ICN 53810,61.55,17.80,37,1/2(1),1,1,2,NA
ICN 53810,55.75,17.45,37, 1/2,1,1,2,NA
ICN 53810,57.70,15.60,37,2(2)/2(1),2,2,,N
ICN 53810,53.78,18.00,37,2(2)/2(1),2,2,2,Right
ICN 53810,57.00,18.74,38,2(2)/2,2,2,2,Right
ICN 53810,58.25,16.85,39,1/2(1),1,1,2,NA
ICN 53810,58.90,17.25,39,1/2(1),1,1,2,NA
ICN 53810,58.24,17.71,39, 1/2,1,1,2,NA
ICN 53810,55.06,18.02,39,1/2(1),1,1,2,NA
ICN 53810,64.98,20.35,39,_2_/2(1),2,1,2,NA
ICN 53810,58.15,16.10,39,2(2)/2(1),2,2,2,Left
